IndiGo,Jet Airways,Multiple carriers,SpiceJet,others,Chennai,Delhi,Delhi,Kolkata,Kolkata,Mumbai,Cochin,Delhi,Delhi,Hyderabad,Kolkata,Kolkata,New Delhi,Route 1,Route 2,Route 3,Route 4,Route 5,Total_Stops,journey_day,journey_month,dep_time_hour,dep_time_min,arrival_time_hour,arrival_time_min,Duration_hours,Duration_mins,Price
0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,15,5,7,0,12,55,5,55,7682
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,21,10,4,0,18,6,9,45,12,35,2,50,4668
0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,4,7,21,10,4,0,15,6,7,5,9,20,2,15,3687
0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,4,7,21,10,4,0,18,6,7,5,9,20,2,15,3687
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,11,7,3,4,2,5,1,9,50,23,15,13,25,13227
1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,21,10,4,0,4,6,4,0,6,50,2,50,4423
0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,29,4,5,4,2,15,6,14,35,12,35,22,0,10919
0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,18,5,7,5,12,35,5,30,12373
1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,27,6,10,35,21,0,10,25,5894
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,28,3,10,4,1,21,5,15,5,20,20,5,15,4649
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,5,21,10,4,0,18,5,14,15,16,45,2,30,6245
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,7,10,4,1,3,6,7,0,13,15,6,15,19225
0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,6,3,7,5,19,0,11,55,14924
0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,15,6,10,4,1,21,5,7,5,18,10,11,5,9646
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,7,10,4,1,15,3,6,45,15,15,8,30,8714
0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,18,5,20,55,19,0,22,5,12373
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,21,10,4,0,5,6,11,10,13,55,2,45,3383
0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,21,3,9,0,21,0,12,0,13062
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,21,10,4,0,24,3,5,45,8,35,2,50,3527
1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,21,10,4,0,27,5,4,0,6,50,2,50,3943
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,4,7,21,10,4,0,5,3,11,40,13,55,2,15,4667
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,15,3,10,4,1,15,5,19,0,11,5,16,5,6117
0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,0,4,5,4,2,27,6,23,5,19,0,19,55,11150
0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,8,21,10,4,0,3,9,11,0,14,15,3,15,7202
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,10,3,10,4,1,5,1,9,35,10,55,25,20,12121
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,21,10,4,0,24,3,22,20,1,10,2,50,4377
1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,21,10,4,0,18,6,21,15,0,15,3,0,3943
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,21,10,4,0,4,3,23,55,2,45,2,50,4483
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,6,3,10,4,1,24,3,19,45,12,0,16,15,14231
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,6,4,2,3,1,8,50,23,55,15,5,17345
0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,4,7,21,10,4,0,3,6,7,5,9,20,2,15,7414
0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,5,6,19,0,1,30,6,30,8073
0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,10,11,10,4,1,3,6,15,40,16,45,25,5,12395
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,6,3,10,4,1,6,6,9,25,21,50,12,25,8366
0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,28,6,10,4,1,4,3,6,5,9,25,27,20,5117
0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,6,3,8,45,19,0,10,15,12524
1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,15,5,15,0,1,30,10,30,7191
0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,4,7,21,10,4,0,24,5,7,5,9,20,2,15,3687
1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,24,6,10,35,21,0,10,25,5894
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,21,10,4,0,24,4,9,45,12,35,2,50,5403
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,15,21,10,4,0,5,6,13,55,15,25,1,30,3625
0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,4,4,5,4,2,21,5,5,55,19,15,13,20,10861
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,4,7,21,10,4,0,3,12,13,20,15,35,2,15,6297
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,15,21,10,4,0,6,1,7,5,8,30,1,25,5678
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,7,10,4,1,3,9,5,45,8,15,26,30,9134
0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,24,6,11,40,19,0,7,20,10791
0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,0,4,5,4,2,24,6,23,5,12,35,13,30,12819
1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,5,6,10,4,1,21,3,5,5,10,5,5,0,6893
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,21,10,4,0,3,9,9,50,12,35,2,45,7240
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,21,10,4,0,4,3,11,40,14,30,2,50,3898
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,15,21,10,4,0,4,3,6,25,7,55,1,30,4049
0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,15,6,17,30,12,35,19,5,10262
0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,4,7,21,10,4,0,21,3,8,20,10,35,2,15,3332
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,6,3,10,4,1,6,9,21,10,12,0,14,50,10844
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,21,10,4,0,24,3,19,55,22,35,2,40,7229
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,6,3,10,4,1,5,6,6,30,4,40,22,10,13941
1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,27,6,11,25,21,0,9,35,5894
0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,18,5,9,0,19,0,10,0,10197
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,7,10,4,1,3,6,14,5,11,25,21,20,13712
1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,28,6,10,4,1,24,6,2,0,7,25,5,25,5636
0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,23,4,5,4,2,6,6,9,40,4,25,18,45,13014
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,6,3,10,4,1,4,1,8,25,20,45,12,20,7064
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,10,3,10,4,1,24,5,20,25,14,25,18,0,10703
0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,15,6,10,4,1,27,5,13,15,22,30,9,15,9646
0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,3,6,2,15,13,20,11,5,17057
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,7,10,4,1,3,12,16,55,10,25,17,30,13817
0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,4,4,5,4,2,3,6,5,55,19,15,13,20,13748
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,5,21,10,4,0,21,4,20,45,23,20,2,35,4880
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,4,7,21,10,4,0,21,6,5,15,7,40,2,25,3540
0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,21,10,4,0,15,5,5,55,8,35,2,40,3257
0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,21,10,4,0,6,3,19,50,22,50,3,0,6478
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,15,21,10,4,0,18,6,7,5,8,30,1,25,8040
0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,1,4,5,4,2,6,12,20,0,12,35,16,35,14300
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,6,3,10,4,1,15,5,8,25,20,45,12,20,14781
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,6,3,10,4,1,6,9,20,0,8,15,12,15,14939
0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,24,6,20,55,4,25,7,30,10262
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,28,3,10,4,1,5,12,14,35,14,35,24,0,6528
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,21,10,4,0,5,1,6,10,8,55,2,45,6121
0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,23,4,5,4,2,18,5,19,30,4,25,8,55,13029
0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,27,3,11,40,18,50,7,10,11421
0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,27,3,4,45,19,15,14,30,7574
0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,24,4,5,4,2,5,9,12,55,19,15,30,20,11596
0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,0,4,5,4,2,24,5,23,5,19,0,19,55,15129
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,7,10,4,1,18,3,14,5,5,5,15,0,13555
1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,21,10,4,0,4,12,18,55,21,50,2,55,5780
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,10,3,10,4,1,5,12,20,20,9,5,12,45,9397
0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,3,6,18,15,4,25,10,10,17024
0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,27,6,7,0,12,55,5,55,5281
0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,15,6,10,4,1,18,5,7,5,22,30,15,25,10348
0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,28,6,10,4,1,3,6,17,20,9,25,16,5,12677
0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,3,3,15,25,1,35,10,10,15147
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,21,10,4,0,6,12,7,0,9,40,2,40,4668
0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,5,9,7,5,19,0,11,55,15554
0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,21,10,4,0,4,9,5,55,8,35,2,40,3971
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,15,21,10,4,0,5,3,15,0,16,25,1,25,3100
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,6,3,10,4,1,5,6,20,0,10,5,14,5,9663
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,4,7,21,10,4,0,5,12,5,15,7,40,2,25,3540
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2,4,3,4,2,21,5,12,0,11,10,23,10,10676
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,6,3,10,4,1,6,12,14,5,8,15,18,10,13044
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,6,3,10,4,1,5,6,20,0,12,0,16,0,14388
1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,21,10,4,0,24,6,4,0,6,50,2,50,3943
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,4,7,21,10,4,0,6,3,14,45,17,5,2,20,3597
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,7,10,4,1,21,3,11,50,19,50,8,0,5932
0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,15,6,11,30,4,25,16,55,10262
0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,3,8,21,10,4,0,5,12,14,40,17,50,3,10,6216
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,5,21,10,4,0,15,6,20,25,23,10,2,45,4804
0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,21,5,11,30,1,30,14,0,14067
0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,0,4,5,4,2,18,5,19,10,19,0,23,50,15129
0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,29,4,5,4,2,6,6,6,45,4,25,21,40,13376
0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,12,4,5,4,2,27,6,22,0,19,15,21,15,10441
0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,21,10,4,0,24,5,6,0,8,45,2,45,4030
0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,3,3,8,0,18,50,10,50,17024
0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,4,9,17,30,1,30,8,0,13017
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,6,3,10,4,1,6,6,23,30,7,45,8,15,6686
1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,28,6,10,4,1,15,6,2,0,7,25,5,25,5636
1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,15,6,10,4,1,6,9,7,35,16,10,8,35,6442
0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,15,6,10,4,1,21,5,13,5,0,55,11,50,9486
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,6,3,10,4,1,21,5,20,0,23,35,27,35,10844
0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,1,4,5,4,2,6,3,20,0,4,25,8,25,15318
0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,28,6,10,4,1,4,3,12,30,9,25,20,55,5117
1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,5,6,10,4,1,24,6,15,10,20,0,4,50,6147
0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,6,9,12,50,21,0,8,10,7005
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,5,21,10,4,0,4,3,22,20,0,40,2,20,3873
0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,3,4,5,4,2,21,3,18,25,18,50,24,25,9270
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,21,10,4,0,27,6,11,40,14,30,2,50,3898
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,6,3,10,4,1,5,12,8,25,20,45,12,20,14781
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,6,3,10,4,1,24,5,20,0,8,15,12,15,8586
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,23,4,3,4,2,5,9,8,20,7,55,23,35,10697
0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,1,4,5,4,2,27,6,20,0,12,35,16,35,14300
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,21,10,4,0,3,3,18,55,21,45,2,50,8855
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,6,3,10,4,1,5,12,16,30,18,15,25,45,10844
0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,3,6,2,15,4,25,26,10,17024
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,10,3,10,4,1,5,1,9,35,14,25,28,50,9314
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,21,10,4,0,24,3,0,40,3,25,2,45,4777
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2,3,10,4,1,6,9,12,0,13,15,25,15,7662
1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,15,6,10,4,1,5,9,6,50,16,10,9,20,6442
0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,32,6,10,4,1,6,12,8,45,13,15,4,30,5264
0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,27,5,13,0,4,25,15,25,12898
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,15,21,10,4,0,3,3,13,55,15,25,1,30,6092
0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,21,10,4,0,21,5,5,55,8,35,2,40,3311
0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,27,3,19,15,4,25,9,10,6540
1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,21,10,4,0,27,5,1,30,4,15,2,45,3419
0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,4,3,14,0,12,35,22,35,5177
0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,8,21,10,4,0,18,4,18,5,21,10,3,5,8246
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,10,3,10,4,1,6,9,9,35,21,5,11,30,14676
0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,27,6,11,30,21,0,9,30,13587
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,6,3,10,4,1,5,6,21,10,9,20,12,10,9663
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,6,3,10,4,1,6,12,16,30,10,5,17,35,13044
1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,4,3,20,25,1,30,5,5,5073
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,10,3,10,4,1,21,5,17,0,18,50,25,50,9345
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,6,3,10,4,1,5,6,14,5,10,5,20,0,9663
0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,21,5,8,0,21,0,13,0,14277
0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,6,1,10,0,4,25,18,25,10262
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,15,21,10,4,0,27,3,19,35,21,5,1,30,5678
0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,15,5,16,0,1,30,9,30,13727
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,6,3,10,4,1,5,6,20,0,12,0,16,0,9663
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,4,7,21,10,4,0,5,12,14,45,17,5,2,20,3858
0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,32,6,10,4,1,24,6,8,45,13,15,4,30,4812
1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,27,6,10,4,1,27,6,21,50,3,35,5,45,5775
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,10,3,10,4,1,6,6,9,35,9,45,24,10,10539
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,5,21,10,4,0,6,3,15,30,18,5,2,35,4804
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,21,10,4,0,6,12,11,10,13,55,2,45,3383
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,7,10,4,1,3,3,12,10,17,5,4,55,8738
0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,35,6,10,4,1,27,3,5,15,6,50,25,35,7165
1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,15,6,10,4,1,24,6,16,10,22,30,6,20,6412
0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,21,10,4,0,27,6,18,55,22,0,3,5,8016
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,7,10,4,1,3,12,20,35,15,15,18,40,11087
0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,4,7,21,10,4,0,27,6,9,45,12,0,2,15,3543
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,6,3,10,4,1,6,12,16,30,4,40,12,10,12471
0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,24,6,9,0,4,25,19,25,10262
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,21,10,4,0,18,3,13,20,16,10,2,50,4441
0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,27,3,7,5,15,30,8,25,12537
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,6,3,10,4,1,24,3,22,25,7,40,9,15,10091
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,21,10,4,0,6,3,21,5,23,55,2,50,6961
1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,8,21,10,4,0,24,4,5,35,8,50,3,15,5013
0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,8,21,10,4,0,18,5,5,10,8,0,2,50,6934
